time_ms,emg_raw,class,trial
1,14,1,1
1,145,1,1
1,20,1,1
1,29,1,1
1,21,1,1
1,24,1,1
1,79,1,1
1,26,1,1
1,12,1,1
1,14,1,1
1,126,1,1
1,23,1,1
1,27,1,1
1,14,1,1
1,51,1,1
1,19,1,1
1,25,1,1
2,17,1,1
2,43,1,1
2,18,1,1
2,15,1,1
2,30,1,1
2,33,1,1
2,23,1,1
2,18,1,1
2,70,1,1
2,16,1,1
2,18,1,1
2,19,1,1
3,118,1,1
3,41,1,1
3,13,1,1
3,33,1,1
3,54,1,1
3,18,1,1
3,10,1,1
3,18,1,1
3,38,1,1
3,26,1,1
3,72,1,1
3,20,1,1
3,33,1,1
3,15,1,1
4,22,1,1
4,73,1,1
4,32,1,1
4,16,1,1
4,14,1,1
4,117,1,1
4,19,1,1
4,33,1,1
4,24,1,1
4,51,1,1
4,16,1,1
4,23,1,1
4,22,1,1
4,43,1,1
5,18,1,1
5,15,1,1
5,27,1,1
5,31,1,1
5,29,1,1
5,19,1,1
5,55,1,1
5,27,1,1
5,18,1,1
5,18,1,1
7,117,1,1
7,56,1,1
7,14,1,1
7,23,1,1
7,58,1,1
7,12,1,1
7,14,1,1
7,23,1,1
7,40,1,1
7,18,1,1
8,103,1,1
8,66,1,1
8,33,1,1
8,20,1,1
8,14,1,1
8,122,1,1
8,27,1,1
8,23,1,1
8,24,1,1
8,160,1,1
9,11,1,1
9,22,1,1
9,20,1,1
9,45,1,1
9,14,1,1
9,18,1,1
9,60,1,1
9,24,1,1
9,114,1,1
9,19,1,1
9,78,1,1
9,26,1,1
9,20,1,1
9,10,1,1
9,58,1,1
9,21,1,1
9,15,1,1
9,8,1,1
9,54,1,1
9,42,1,1
9,18,1,1
9,19,1,1
9,40,1,1
9,17,1,1
9,17,1,1
9,20,1,1
9,26,1,1
9,19,1,1
10,117,1,1
10,106,1,1
10,35,1,1
10,22,1,1
10,23,1,1
10,55,1,1
10,25,1,1
10,15,1,1
10,19,1,1
10,141,1,1
10,16,1,1
10,16,1,1
10,62,1,1
10,44,1,1
11,27,1,1
11,24,1,1
11,113,1,1
11,25,1,1
11,126,1,1
11,13,1,1
11,45,1,1
11,5,1,1
11,17,1,1
11,11,1,1
11,44,1,1
11,18,1,1
11,18,1,1
11,13,1,1
12,28,1,1
12,24,1,1
12,15,1,1
12,60,1,1
12,42,1,1
12,31,1,1
12,13,1,1
12,86,1,1
12,25,1,1
12,16,1,1
12,67,1,1
12,107,1,1
12,28,1,1
12,21,1,1
12,17,1,1
13,37,1,1
13,20,1,1
13,11,1,1
13,14,1,1
13,143,1,1
13,13,1,1
13,26,1,1
13,96,1,1
13,18,1,1
13,11,1,1
13,15,1,1
13,94,1,1
14,24,1,1
14,131,1,1
14,13,1,1
14,43,1,1
14,14,1,1
14,23,1,1
14,15,1,1
14,29,1,1
16,17,1,1
16,17,1,1
16,52,1,1
16,23,1,1
17,21,1,1
17,14,1,1
17,90,1,1
17,22,1,1
17,60,1,1
17,23,1,1
17,78,1,1
17,20,1,1
18,19,1,1
18,35,1,1
18,50,1,1
18,18,1,1
18,13,1,1
18,17,1,1
18,39,1,1
18,21,1,1
18,13,1,1
19,15,1,1
19,129,1,1
19,13,1,1
19,14,1,1
19,90,1,1
19,23,1,1
19,7,1,1
19,16,1,1
20,79,1,1
20,18,1,1
20,74,1,1
20,10,1,1
20,86,1,1
20,17,1,1
20,17,1,1
20,10,1,1
20,58,1,1
20,11,1,1
21,13,1,1
21,10,1,1
21,37,1,1
21,40,1,1
21,12,1,1
21,13,1,1
21,26,1,1
21,23,1,1
21,14,1,1
21,9,1,1
21,29,1,1
21,11,1,1
22,109,1,1
22,31,1,1
22,27,1,1
22,0,1,1
22,11,1,1
22,12,1,1
22,23,1,1
22,7,1,1
22,8,1,1
22,4,1,1
22,43,1,1
23,56,1,1
23,11,1,1
23,12,1,1
23,26,1,1
23,12,1,1
23,5,1,1
23,7,1,1
23,55,1,1
23,11,1,1
24,4,1,1
24,7,1,1
24,52,1,1
24,15,1,1
24,15,1,1
24,3,1,1
24,19,1,1
24,8,1,1
24,8,1,1
25,7,1,1
25,4,1,1
25,53,1,1
25,8,1,1
25,24,1,1
25,5,1,1
25,24,1,1
25,8,1,1
25,9,1,1
25,7,1,1
25,10,1,1
25,25,1,1
26,13,1,1
26,8,1,1
26,9,1,1
26,88,1,1
26,7,1,1
26,6,1,1
26,10,1,1
26,22,1,1
26,2,1,1
26,9,1,1
26,6,1,1
26,3,1,1
26,48,1,1
27,10,1,1
27,85,1,1
27,10,1,1
27,31,1,1
27,10,1,1
27,11,1,1
27,6,1,1
27,36,1,1
27,8,1,1
27,8,1,1
27,7,1,1
27,7,1,1
27,65,1,1
28,3,1,1
28,4,1,1
28,1,1,1
28,50,1,1
28,8,1,1
28,8,1,1
28,5,1,1
28,8,1,1
28,27,1,1
28,7,1,1
28,22,1,1
28,5,1,1
28,50,1,1
28,10,1,1
28,11,1,1
28,9,1,1
28,42,1,1
29,8,1,1
29,5,1,1
29,6,1,1
29,5,1,1
29,29,1,1
29,9,1,1
29,12,1,1
29,4,1,1
29,40,1,1
29,8,1,1
29,6,1,1
29,4,1,1
29,4,1,1
29,29,1,1
29,8,1,1
29,5,1,1
29,0,1,1
29,41,1,1
30,9,1,1
30,10,1,1
30,7,1,1
30,18,1,1
30,19,1,1
30,12,1,1
30,6,1,1
30,4,1,1
30,30,1,1
30,7,1,1
30,22,1,1
30,8,1,1
30,33,1,1
31,6,1,1
31,4,1,1
31,4,1,1
31,3,1,1
31,25,1,1
31,7,1,1
31,5,1,1
32,6,1,1
32,19,1,1
32,9,1,1
32,6,1,1
32,4,1,1
32,10,1,1
32,26,1,1
32,10,1,1
32,8,1,1
32,3,1,1
32,43,1,1
33,9,1,1
33,7,1,1
33,6,1,1
33,17,1,1
33,12,1,1
33,10,1,1
33,6,1,1
33,6,1,1
33,24,1,1
33,6,1,1
33,6,1,1
33,9,1,1
33,6,1,1
33,14,1,1
33,16,1,1
34,5,1,1
34,4,1,1
34,24,1,1
34,8,1,1
34,7,1,1
34,7,1,1
34,8,1,1
34,16,1,1
34,1,1,1
34,5,1,1
34,46,1,1
34,23,1,1
34,10,1,1
34,4,1,1
34,5,1,1
34,42,1,1
35,9,1,1
35,4,1,1
35,4,1,1
35,2,1,1
35,22,1,1
35,20,1,1
35,8,1,1
35,25,1,1
35,25,1,1
35,6,1,1
35,5,1,1
35,5,1,1
35,4,1,1
35,14,1,1
36,2,1,1
36,9,1,1
36,2,1,1
36,43,1,1
36,30,1,1
36,4,1,1
36,8,1,1
36,7,1,1
36,16,1,1
36,7,1,1
36,6,1,1
36,4,1,1
36,49,1,1
36,5,1,1
36,3,1,1
36,44,1,1
37,4,1,1
37,15,1,1
37,10,1,1
37,9,1,1
37,0,1,1
37,22,1,1
37,7,1,1
37,4,1,1
37,6,1,1
37,8,1,1
37,33,1,1
37,2,1,1
37,9,1,1
37,4,1,1
38,40,1,1
38,7,1,1
38,7,1,1
38,4,1,1
38,7,1,1
38,18,1,1
38,3,1,1
38,2,1,1
38,7,1,1
38,52,1,1
38,9,1,1
38,0,1,1
38,6,1,1
38,6,1,1
38,35,1,1
38,11,1,1
38,4,1,1
38,1,1,1
38,26,1,1
39,11,1,1
39,45,1,1
39,7,1,1
39,15,1,1
39,9,1,1
39,9,1,1
39,5,1,1
39,4,1,1
39,34,1,1
39,8,1,1
39,7,1,1
39,8,1,1
40,0,1,1
40,14,1,1
40,10,1,1
40,6,1,1
40,8,1,1
40,34,1,1
40,8,1,1
40,5,1,1
40,4,1,1
40,3,1,1
40,18,1,1
40,1,1,1
41,5,1,1
41,52,1,1
41,34,1,1
41,8,1,1
41,0,1,1
41,6,1,1
41,8,1,1
41,17,1,1
41,6,1,1
41,5,1,1
41,6,1,1
41,33,1,1
42,39,1,1
42,7,1,1
42,6,1,1
42,1,1,1
42,16,1,1
42,7,1,1
42,9,1,1
42,1,1,1
42,30,1,1
42,4,1,1
42,4,1,1
42,8,1,1
42,6,1,1
42,59,1,1
42,5,1,1
42,10,1,1
42,3,1,1
43,30,1,1
43,6,1,1
43,3,1,1
43,1,1,1
43,0,1,1
43,27,1,1
43,15,1,1
43,26,1,1
43,3,1,1
43,30,1,1
43,8,1,1
43,10,1,1
43,7,1,1
43,26,1,1
44,11,1,1
44,5,1,1
44,4,1,1
44,2,1,1
44,57,1,1
44,5,1,1
44,14,1,1
44,3,1,1
44,32,1,1
44,5,1,1
44,8,1,1
44,5,1,1
44,6,1,1
44,15,1,1
44,3,1,1
44,2,1,1
44,5,1,1
45,36,1,1
45,5,1,1
45,9,1,1
45,5,1,1
45,12,1,1
45,10,1,1
45,5,1,1
45,0,1,1
45,4,1,1
45,31,1,1
45,8,1,1
45,59,1,1
45,6,1,1
45,4,1,1
45,19,1,1
45,11,1,1
45,2,1,1
46,4,1,1
46,30,1,1
46,6,1,1
46,0,1,1
46,7,1,1
46,35,1,1
47,4,1,1
47,8,1,1
47,4,1,1
47,5,1,1
47,34,1,1
47,7,1,1
47,5,1,1
47,6,1,1
47,5,1,1
48,22,1,1
48,5,1,1
48,4,1,1
48,20,1,1
48,36,1,1
48,6,1,1
48,6,1,1
48,10,1,1
48,9,1,1
49,12,1,1
49,0,1,1
49,2,1,1
49,1,1,1
49,35,1,1
49,31,1,1
49,11,1,1
49,11,1,1
49,29,1,1
49,8,1,1
49,1,1,1
49,2,1,1
49,5,1,1
50,14,1,1
50,6,1,1
50,9,1,1
50,39,1,1
50,26,1,1
50,3,1,1
50,1,1,1
50,6,1,1
50,7,1,1
50,10,1,1
50,3,1,1
50,4,1,1
50,4,1,1
50,36,1,1
50,32,1,1
50,4,1,1
51,10,1,1
51,28,1,1
51,10,1,1
51,9,1,1
51,7,1,1
51,0,1,1
51,13,1,1
51,6,1,1
51,10,1,1
51,34,1,1
51,14,1,1
51,9,1,1
51,4,1,1
52,6,1,1
52,26,1,1
52,12,1,1
52,12,1,1
52,0,1,1
52,16,1,1
52,11,1,1
52,35,1,1
52,0,1,1
52,8,1,1
52,12,1,1
52,8,1,1
52,5,1,1
52,6,1,1
52,34,1,1
52,8,1,1
53,8,1,1
53,5,1,1
53,3,1,1
53,15,1,1
53,15,1,1
53,9,1,1
53,14,1,1
53,20,1,1
53,6,1,1
53,1,1,1
53,4,1,1
53,14,1,1
53,7,1,1
53,2,1,1
53,3,1,1
53,14,1,1
53,18,1,1
54,7,1,1
54,3,1,1
54,4,1,1
54,15,1,1
54,8,1,1
54,6,1,1
54,6,1,1
54,4,1,1
54,30,1,1
54,39,1,1
54,3,1,1
54,5,1,1
54,20,1,1
54,13,1,1
54,11,1,1
54,17,1,1
55,45,1,1
55,7,1,1
55,4,1,1
55,2,1,1
55,37,1,1
55,7,1,1
55,12,1,1
55,6,1,1
55,6,1,1
55,37,1,1
55,6,1,1
55,4,1,1
55,8,1,1
55,7,1,1
55,16,1,1
55,12,1,1
55,4,1,1
56,4,1,1
56,37,1,1
56,8,1,1
56,3,1,1
56,7,1,1
56,3,1,1
56,18,1,1
56,4,1,1
56,0,1,1
56,1,1,1
57,14,1,1
57,26,1,1
57,5,1,1
57,2,1,1
57,6,1,1
57,14,1,1
57,2,1,1
57,3,1,1
57,2,1,1
57,15,1,1
57,4,1,1
57,3,1,1
57,32,1,1
58,17,1,1
58,45,1,1
58,18,1,1
58,0,1,1
58,0,1,1
58,17,1,1
58,8,1,1
58,11,1,1
58,0,1,1
58,34,1,1
58,46,1,1
58,9,1,1
58,5,1,1
58,3,1,1
58,13,1,1
58,10,1,1
59,7,1,1
59,0,1,1
59,16,1,1
59,2,1,1
59,15,1,1
59,33,1,1
59,21,1,1
59,8,1,1
59,9,1,1
59,11,1,1
59,25,1,1
59,3,1,1
59,1,1,1
59,5,1,1
59,2,1,1
59,20,1,1
59,17,1,1
60,3,1,1
60,6,1,1
60,27,1,1
60,3,1,1
60,4,1,1
60,5,1,1
60,1,1,1
60,20,1,1
60,7,1,1
60,8,1,1
60,6,1,1
60,0,1,1
60,43,1,1
60,5,1,1
60,10,1,1
60,2,1,1
60,18,1,1
61,4,1,1
61,6,1,1
61,4,1,1
61,3,1,1
61,10,1,1
61,9,1,1
61,30,1,1
61,0,1,1
61,19,1,1
61,4,1,1
61,0,1,1
61,8,1,1
61,1,1,1
61,10,1,1
61,5,1,1
61,9,1,1
61,19,1,1
61,17,1,1
62,4,1,1
62,0,1,1
62,0,1,1
62,4,1,1
62,13,1,1
63,14,1,1
63,10,1,1
63,8,1,1
63,5,1,1
63,5,1,1
63,0,1,1
63,0,1,1
63,32,1,1
63,8,1,1
63,4,1,1
63,8,1,1
63,5,1,1
64,30,1,1
64,6,1,1
64,6,1,1
64,4,1,1
64,9,1,1
64,17,1,1
64,13,1,1
64,1,1,1
64,1,1,1
64,26,1,1
64,5,1,1
64,3,1,1
64,5,1,1
64,5,1,1
64,14,1,1
65,0,1,1
65,0,1,1
65,0,1,1
65,30,1,1
65,30,1,1
65,6,1,1
65,0,1,1
65,0,1,1
65,11,1,1
65,8,1,1
66,12,1,1
66,11,1,1
66,14,1,1
66,0,1,1
66,9,1,1
66,33,1,1
66,31,1,1
66,2,1,1
66,2,1,1
67,8,1,1
67,8,1,1
67,14,1,1
67,7,1,1
67,4,1,1
67,8,1,1
67,29,1,1
67,41,1,1
67,0,1,1
67,2,1,1
67,4,1,1
67,16,1,1
68,8,1,1
68,5,1,1
68,2,1,1
68,30,1,1
68,8,1,1
68,7,1,1
68,2,1,1
68,4,1,1
68,48,1,1
68,12,1,1
68,9,1,1
68,1,1,1
68,34,1,1
68,8,1,1
69,4,1,1
69,8,1,1
69,9,1,1
69,22,1,1
69,14,1,1
69,29,1,1
69,12,1,1
69,18,1,1
69,0,1,1
69,7,1,1
69,5,1,1
69,26,1,1
69,3,1,1
69,0,1,1
69,0,1,1
69,3,1,1
70,40,1,1
70,13,1,1
70,11,1,1
70,1,1,1
70,33,1,1
70,4,1,1
70,8,1,1
70,3,1,1
70,6,1,1
70,14,1,1
70,6,1,1
70,16,1,1
70,5,1,1
70,61,1,1
70,10,1,1
70,10,1,1
70,10,1,1
70,22,1,1
70,10,1,1
70,16,1,1
70,5,1,1
70,23,1,1
70,59,1,1
70,10,1,1
71,5,1,1
71,25,1,1
71,36,1,1
71,25,1,1
71,5,1,1
71,29,1,1
71,6,1,1
71,7,1,1
71,9,1,1
71,21,1,1
71,14,1,1
71,9,1,1
71,1,1,1
71,2,1,1
71,30,1,1
71,11,1,1
72,3,1,1
72,9,1,1
72,18,1,1
72,7,1,1
72,32,1,1
72,1,1,1
72,0,1,1
72,14,1,1
72,12,1,1
72,10,1,1
73,7,1,1
73,18,1,1
73,13,1,1
73,7,1,1
73,5,1,1
73,55,1,1
73,15,1,1
73,13,1,1
73,9,1,1
74,28,1,1
74,7,1,1
74,6,1,1
74,5,1,1
74,8,1,1
74,22,1,1
74,11,1,1
74,43,1,1
74,0,1,1
74,24,1,1
74,13,1,1
74,0,1,1
74,2,1,1
75,25,1,1
75,10,1,1
75,6,1,1
75,10,1,1
75,14,1,1
75,30,1,1
75,3,1,1
75,6,1,1
75,3,1,1
75,17,1,1
75,8,1,1
75,9,1,1
75,4,1,1
76,19,1,1
76,6,1,1
76,8,1,1
76,28,1,1
76,8,1,1
76,19,1,1
76,12,1,1
76,12,1,1
76,9,1,1
76,19,1,1
76,0,1,1
76,5,1,1
76,5,1,1
76,6,1,1
76,16,1,1
76,11,1,1
77,8,1,1
77,0,1,1
77,17,1,1
77,2,1,1
77,7,1,1
77,7,1,1
